序号,英文标题,中文标题,中文摘要
P01051,"Beyond mere pollution source identification: Determination of land covers emitting soil heavy metals by combining PCA/APCS, GeoDetector and GIS analysis","Beyond mere pollution source identification: Determination of land covers emitting soil heavy metals by combining PCA/APCS, GeoDetector and GIS analysis",在这项工作中，我们提出了一种方法，不仅限于识别污染源的类型的，而且还建议将重金属排放到周围土壤中的土地覆盖，引入了三个阶段的程序如下：土壤重金属积累空间分布的主成分分析/绝对主成分得分技术应用于确定土壤重金属积累负责的源类型，基于主成分得分空间分布和四个选定的驱动因子（土地覆盖，距离矿山或冶炼厂，距离道路，和地形海拔），地理探测器模型用于识别驱动因子对土壤重金属积累的影响强度，并获得污染源的景观类型，和GIS分析（缓冲和重叠分析）在与污染源景观类型相关的可疑土地覆盖周围的主成分得分进行，以确定实际上将重金属排放到周围土壤中的土地覆盖。基于提出的方法，四个冶金和土地或土地组被确定为湖北省大冶市土壤重金属污染的实际来源。最后，提出了一个具有衰减函数的多元线性回归模型，以量化先前确定的污染源对土壤重金属积累的贡献。发现黄金山采石场、铜录山铜矿（连同一些相关的矿物加工和冶炼企业）、狮子山采矿和矿物加工基地以及大欧家山大矿这四个来源分别占研究区土壤重金属总积累的3.2%、34.3%、8.3%和44%。
P01054,Patterns in soil contamination across an abandoned steel and iron plant: Proximity to source and seasonal wind direction as drivers,废弃钢铁厂土壤污染模式：距离源和季节风向作为驱动因素,通过磁化率和X射线荧光光谱法，我们检查了一个已生产50年的废弃钢铁厂的土壤重金属含量。土壤磁化率和重金属含量随距工厂工业中心区域的距离增加而呈类似的下降趋势。结果表明，土壤磁化率平均值为 2727 × 10^-8 m^3 kg^-1，最大峰值出现在距离工厂中心100米处。频磁化率值小于2%，表明存在来自工业活动的粗颗粒。磁化率与Mn、Fe、Cu和Pb之间存在显著的正相关。不规则形状和非球状聚集体是在土壤样品中发现的人为磁性颗粒的主要形态。我们的结果表明，北部、东北部和东部采样区通常具有最高的污染物值，这些方向与一年中不同时间的盛行风向相对应。绘制金属的空间分布图有助于针对修复和土地利用规划进行高分辨率的风险区域定位。
P01057,Source apportionment and health risks of the bioavailable and residual fractions of heavy metals in the park soils in a coastal city of China using a receptor model combined with Pb isotopes,基于受体模型结合铅同位素分析中国沿海城市公园土壤重金属生物有效态和残渣态的源解析及健康风险,公园土壤中重金属在生物有效态和残渣态之间的特征和来源差异尚未得到充分证明。本研究在中国东南部厦门采集了52个公园土壤样品。采用欧共体参考物质局（BCR）推荐的改进连续提取法测定V、Cr、Co、Mn、Ni、Cu、Zn、As、Cd、Ba和Pb的形态。利用铅同位素、多元统计分析和人体健康风险模型确定了不同组分之间重金属来源和风险的差异。基于富集因子（EFs）与历史记录的对比，公园土壤中Cu、Zn、As、Cd和Pb的含量受人为源显著影响，而Mn、Ba、V、Cr、Ni和Co部分受人类活动影响。生物有效态组分在Cd（82.0%）、Cu（58.5%）、Mn（58.4%）、Zn（57.6%）、Co（55.4%）和Pb（50.3%）中占有重要比例，但68.6–85.4%的V、Cr、Ni、As和Ba主要存在于残渣态中。主成分分析和多元线性回归（PCA-MLR）显示，除Cr和Ni外，人为源是大多数重金属生物有效态组分的主要贡献者。然而，55.1–100%的人为源仍对Cd、Ba、Pb、As和Mn的残渣态有贡献，这一点得到了铅形态同位素的证实。这些结果表明人为源同时影响生物有效态和残渣态，但对生物有效态的影响更
P01142,Goethite-modified biochar restricts the mobility and transfer of cadmium in soil-rice system,针铁矿改性生物炭限制镉在土壤-水稻系统中的迁移和转化,稻田镉污染已引起对食品安全的严重关切。利用生物炭（BC）和改性生物炭修复和管理镉污染土壤是一种具有成本效益的方法，近年来备受关注。针铁矿改性生物炭（GB）结合了BC和铁（Fe）在修复镉污染土壤方面的有益效果。我们探讨了不同BC和GB改良剂对Cd在土壤-水稻系统中迁移和转化的影响。BC和GB都有效降低了根际中Cd的迁移性和生物有效性，并改善了水稻的关键生长属性。尽管BC供应增强了水稻植株在污染土壤中的性能，但在土壤中施用1.5%的GB使生长在Cd污染土壤中的水稻植株的生理和生化属性显著改善。连续提取结果表明，BC和GB差异性地促进了可交换态Cd向非可交换态Cd的转化，从而限制了Cd在土壤中的迁移和转化。此外，在土壤中补充1.5%的GB增加了铁膜的形成，并增强了铁膜对Cd的固定。GB处理后水稻植株地上部和根系生物量的增加与叶绿素含量和气体交换属性的增加呈正相关。此外，在GB施用下，水稻植株的氧化应激损伤相对降低。这些发现表明，在土壤中施用1.5%的GB是一种潜在的修复方法，可最大限度地减少Cd在稻米中的积累，从而保护人类免受Cd暴露。
P01145,"Heavy Metal(loids) in typical Chinese tobacco-growing soils: Concentrations, influence factors and potential health risks",典型中国烟草种植土壤中的重金属：浓度、影响因素及潜在健康风险,烟草种植土壤中重金属的浓度水平对土壤质量有害。本研究从遵义市采集了256个表层土壤样品，利用数理统计、地统计分析和条件推断树（CIT）方法，研究了重金属的浓度、空间分布特征、来源及健康风险。结果显示，烟草种植土壤中Hg、Pb、Zn和Cd的平均含量分别为背景值的1.7、1.2、1.1和1倍。而Ni、Cr、Cu和As暂时在允许限值内。由于人类活动，务川、桐梓、道真和余庆土壤中Hg、Cd、Pb和Zn的浓度远高于其他地区。根据CIT分析，主要节点为：1）采样点到主干道的距离，2）有机质，3）工厂，和4）土壤类型。结果表明，对于Pb和Zn，污染源可能是交通运输；对于Cu、As和Cd，来源是磷肥、烟草专用肥料和有机肥的利用；Hg的来源是煤炭燃烧和金属冶炼。此外，喀斯特地貌中重金属的高背景值是导致Cd积累的原因。关于危害商数和终身致癌风险，除Cr应在后续风险控制中特别考虑外，暴露个体不太可能因重金属污染而出现明显的不良健康影响。
P01146,"Pollution, sources and environmental risk assessment of heavy metals in the surface AMD water, sediments and surface soils around unexploited Rona Cu deposit, Tibet, China",西藏未开采Rona铜矿区地表水、沉积物和表层土壤中重金属的污染、来源及环境风险评估,采矿引起的重金属污染是世界范围内的一个普遍问题。然而，关于未开采矿床（处女地）周围重金属污染的研究很少，特别是在中国西藏。本研究采集了西藏未开采Rona铜矿周围的水、沉积物和表层土壤样品，以调查重金属的浓度。此外，还分析了这些元素的地球化学形态。利用污染指数、地累积指数、潜在生态风险指数和风险评估代码（RAC）评估了重金属累积引起的污染和环境风险。结果表明，Rona支流的pH值在2.70至3.08之间，Cu和Zn的平均浓度分别为2114.00±65.89和1402.14±27.36 µg L-1，超过了标准限值。沉积物中Cu、Zn和As的浓度分别为19.01-1763.10、62.00-543.06和11.12-61.78 mg kg-1，表层土壤中分别为154.60-1489.35、55.38-344.74和10.05-404.03 mg kg-1，均超过了标准限值。根据RAC，几乎所有的Cu、Zn和As都接近低风险状态。然而，Cd在沉积物中从中等到极高风险，在表层土壤中从低到高风险。统计分析表明，沉积物和表层土壤中的Cu、Pb、Zn、As和Cd可能主要来自Rona矿床，而Cr和Hg
P01147,"Influence of phosphorus on copper phytoextraction via modulating cellular organelles in two jute (Corchorus capsularis L.) varieties grown in a copper mining soil of Hubei Province, China",磷通过调控细胞器影响湖北省铜矿土壤中两种红麻品种的铜植物提取,矿区土壤通常受到重金属的高度污染，且缺乏植物必需的营养元素。磷可减少氧化应激，改善植物生长、组成和细胞结构，并提高纤维作物植物的植物修复潜力。在本研究中，我们调查了在铜污染土壤（2221 mg kg-1）中，在不同磷施用量（0、30、60 和 120 kg ha-1）下培育的两个红麻品种 HongTieGuXuan 和 GuBaChangJia 在解剖和生理水平的反应。在相同的 Cu 浓度下，HongTieGuXuan 的耐受指数高于 GuBaChangJia，表明 HongTieGuXuan 可能对 Cu 胁迫更具耐受性。尽管土壤中正常浓度的 P（60 kg ha-1）提高了植物生长、生物量、叶绿素含量、纤维产量和质量以及气体交换属性。然而，高浓度的 P（120 kg ha-1）对两种红麻品种均有毒性，影响了植物在相同 Cu 水平下的形态和生理属性。此外，Cu 毒性增加了两种红麻品种叶片中的氧化应激，但这种应激被抗氧化酶的活性所克服。此外，高浓度的 Cu 改变了两个红麻品种中叶绿体、质体小球、线粒体和许多其他细胞器的超微结构。因此，随着 Cu 污染土壤中 P 施用量的增加，两种红麻品
P01148,"Heavy metal concentration, potential ecological risk assessment and enzyme activity in soils affected by a lead-zinc tailing spill in Guangxi, China",广西铅锌尾矿泄漏影响土壤中的重金属浓度、潜在生态风险评估及酶活性,1976年，中国广西兴平铅锌矿尾矿坝坍塌事故导致采矿废水和污泥泄漏到下游思村村（Side Village）的农田中。为了解此次事故对思村沿岸农田污染特性的影响，分析了土壤重金属浓度、土壤污染和土壤酶活性。选择了尾矿土壤（TS）、未受泄漏污染的自然森林土壤（NFS）和四种代表性农田土壤。四个农田土壤点位分别位于流入农田的溪流入口处、上游区域、中游以及流出村庄的溪流出口处。结果显示，土壤pH值和重金属浓度顺序为尾矿土壤 TS>ExS>MS>US>EnS>NFS。在分析元素中，Pb浓度最高，其次是Zn、Cd、Mn和Cu。Pb、Zn、Cd、Mn和Cu的浓度分别为10530.41、1708.58、8.32、885.61和104.51 mg kg-1。通过单因子污染指数、综合污染指数和单项/综合潜在生态风险分析进行的土壤污染评估表明，所有土壤均达到重度污染水平，并呈现极高的生态风险等级。Pb、Zn和Cd是主要污染物。转化酶、蛋白酶和脲酶的土壤酶活性表现出与重金属浓度相反的分布模式，而过氧化氢酶活性则观察到相反的结果。
P01149,Health risk assessment of heavy metals in agricultural soils and identification of main influencing factors in a typical industrial park in northwest China,中国西北典型工业园农业土壤重金属健康风险评估及主要影响因素识别,土壤中重金属（HM）的积累对人类健康构成威胁。本研究采集了中国西北典型工业园的62对表层土壤和小麦籽粒样品，评估了镉、铬、铜、汞、镍、铅和锌通过多种暴露途径对人体的健康风险。同时，利用地理探测器探讨了不同环境因素及其相互作用的贡献。结果表明，土壤中Cd浓度范围为0.307至2.491 mg kg-1，中位数为0.588 mg kg-1，几乎一半的样品超过污染阈值。相比之下，土壤中的其他元素均低于强制性标准限值。值得注意的是，小麦籽粒中Cd浓度的中位数为0.062 mg kg-1（0.018-0.246 mg kg-1），Pb浓度也达到了0.2 mg kg-1（0.1-0.7 mg kg-1），样品超标率为48.39%。此外，健康风险评估结果显示，成人及儿童的平均总危害指数（HIt）分别为1.22和1.53，总致癌风险（TCRt）分别为7.0 x 10^-4和2.32 x 10^-4，均高于可接受标准。膳食摄入是主要的暴露途径。在各种因素中，距工业企业的距离、海拔、土壤pH值和距主要道路的距离是影响最大的因素。因素间的相互作用比单因素效应更为显著，这种协同作用值得关注。
P01150,"Physicochemical properties, metal availability and bacterial community structure in heavy metal-polluted soil remediated by montmorillonite-based amendments",基于蒙脱石改良剂修复的重金属污染土壤的理化性质、金属有效性及细菌群落结构,粘土材料常用于重金属污染土壤的修复技术。本研究提出利用镁改性蒙脱石对污染土壤中的重金属进行固定化，并通过毒性特征淋滤程序（TCLP）和欧共体标准局连续提取法（BCR）评估修复效率。添加镁改性蒙脱石导致土壤中重金属（铜、铅、锌和镉）的TCLP浸出量降低，因为促进了其从酸可提取态向残渣态的转化。同时，MM提高了土壤pH值和水溶性有机碳（WSOC）。结果表明，在镁改性蒙脱石存在下，重金属的固定化主要由静电吸引、沉淀和水溶性有机碳的螯合作用引起。有趣的是，观察到经镁改性蒙脱石（MM）处理的土壤中细菌群落多样性降低。纯镁改性蒙脱石的存在增加了变形菌门、放线菌门和厚壁菌门的相对丰度，但减少了拟杆菌门和酸杆菌门的相对丰度。我们的结果表明，将生物炭整合到蒙脱石基改良剂中
P01222,Effect of soil washing on heavy metal removal and soil quality: A two-sided coin,土壤淋洗对重金属去除及土壤质量的影响：双刃剑,由于人类活动导致的土壤重金属污染是一个全球性的环境问题。为了寻找一种能显著去除重金属并最大程度减少对土壤质量损害的淋洗液，本研究使用六种不同浓度的淋洗液处理野外采集的污染土壤。此外，测定了淋洗前、淋洗后及中和样品之间土壤理化性质和重金属形态的变化。同时，还测量了污染土壤在淋洗前、淋洗后及中和样品中的土壤酶活性和土壤微生物多样性。最后，利用薄荷进行了盆栽实验以测试土壤淋洗的效果。结果表明，最佳淋洗液为1% HNO3，在35 C、90 min和固液比为1:10的处理条件下，Cd和Pb的去除率分别为75.7%和60.6%。淋洗后，土壤pH、全磷、速效钾、土壤酶活性和土壤微生物多样性显著降低。然而，用Ca(OH)2中和淋洗后的土壤后，与淋洗前土壤相比，速效磷、全氮和部分微生物显著增加。经1% HNO3处理后，土壤中Cd和Pb的化学形态主要以F1（可交换态）存在，但在用Ca(OH)2中和后，这两种金属的主要形态转变为F5（残渣态）和F3（铁锰氧化物结合态）。此外，土壤中和对薄荷的株高、根长、鲜重和干重无显著影响，但地上部分的Pb、Cu和As浓度显著降低。因此，尽管土壤淋洗能有效去除土壤中的Pb和
P01224,Modified clay mineral: A method for the remediation of the mercury-polluted paddy soil,改性粘土矿物：一种修复汞污染稻田土壤的方法,稻米容易积累汞（Hg），尤其是剧毒的甲基汞，这对亚洲一些汞污染地区的居民构成了严重的健康风险。因此，迫切需要找到既能保证农业生产又能保护人体健康的土壤修复技术。本研究采用巯基材料和壳聚糖对蒙脱石和麦饭石进行改性，制备改性粘土矿物吸附剂。通过盆栽实验，探讨了它们降低水稻中Hg和MeHg含量的能力及其机制。与未改性的粘土矿物相比，改性粘土矿物对水稻中Hg的还原效率更高。施用SH改性的麦饭石对水稻中THg和MeHg的还原效率最高，分别达到78%和81%，并使水稻中的THg浓度低于中国稻米健康指南（20 ng g-1）。施用SH改性的粘土矿物不仅像其他改良剂那样降低了土壤中可交换和特异性吸附的Hg，还显著降低了土壤中氧化物结合态Hg和MeHg的含量，极大地增强了土壤对Hg和MeHg的固定，从而显著降低了水稻中Hg和MeHg的浓度。
P01226,Effect of cornstalk biochar on phytoremediation of Cd-contaminated soil by Beta vulgaris var. cicla L,玉米秸秆生物炭对甜菜植物修复镉污染土壤的影响,镉污染是中国农田中最常见和最广泛的重金属污染。植物修复被认为是一种有前途的镉污染土壤修复措施，但修复效率仍需提高。生物炭作为一种有效的改良介质，被广泛制造和研究用于重金属的土壤修复。本研究进行了温室盆栽试验，以调查玉米秸秆生物炭对Cd污染土壤中甜菜Cd积累的影响。研究了土壤中Cd的有效性、形态和养分，以及甜菜根中的生物量和Cd化学形态，以探讨玉米秸秆生物炭促进甜菜积累Cd的机制。生物炭改良降低了DTPA提取的Cd浓度并刺激了根系的生长。与未施用生物炭的甜菜相比，5%生物炭施用的结果表明，甜菜的根干重增加到267%，甜菜中的Cd积累增加到206%，叶片和根中的Cd浓度分别增加了36%和52%。此外，在土壤中施用5%生物炭后，有机结合态Cd和残留态Cd的总含量增加了38%，而铁锰氧化物结合态Cd的含量降低了40%。同时，Cd可能主要结合在根细胞壁上，NaCl提取的Cd与HAc提取的Cd的比值在5%生物炭添加下增加到166%。根据我们的研究，土壤中的Cd可以通过甜菜去除，并且可以通过生物炭改良提高植物修复效率。植物修复与生物炭改良相结合是修复镉污染土壤的一种有前途的策略。
P01330,Vinegar residue supported nanoscale zero-valent iron: Remediation of hexavalent chromium in soil,醋糟负载纳米零价铁：土壤中六价铬的修复,本研究制备了由负载在醋渣（VR）上的纳米零价铁（nZVI）组成的复合材料，并将其应用于修复受六价铬污染的土壤。沉降试验结果显示，与裸露的nZVI相比，nZVI@VR显示出增强的稳定性。修复实验表明，在使用10克nZVI@VR（nZVI含量5%）处理200克Cr污染土壤（Cr(VI) 198.20 mg kg-1，Cr总量387.24 mg kg-1）两周后，Cr(VI)和Cr总量的固定效率分别为98.68%和92.09%。进一步分析表明，几乎所有的可交换Cr都转化为铁锰氧化物结合态和有机物结合态。此外，nZVI@VR的应用增加了土壤有机碳含量并降低了氧化还原电位。造粒后，在10%颗粒状nZVI@VR的用量下，Cr(VI)和Cr总量的固定效率分别达到100%和91.83%。颗粒状nZVI@VR还加速了更多的有效Cr（可交换态和碳酸盐结合态）转化为低有效性形态（铁锰氧化物结合态和有机物结合态），从而导致Cr生物利用度的显著降低。这些结果证明nZVI@VR可作为修复Cr(VI)污染土壤的有效试剂。
P01331,Effects of microplastics on greenhouse gas emissions and the microbial community in fertilized soil,微塑料对施肥土壤温室气体排放及微生物群落的影响,微塑料（MPs）粒径小（<5 mm），广泛分布于土壤环境中。迄今为止，关于MPs对在生物地球化学循环中起重要作用的土壤微生物群落影响的研究还很少。在本研究中，我们调查了两种粒径的MPs对施肥土壤中溶解性有机碳（DOC）及其相关官能团、温室气体（GHGs）通量以及细菌和真菌群落的影响。结果显示，5%浓度的MPs对土壤DOC没有显著影响，但加速了芳香族官能团的形成。在施肥土壤中，MPs的存在导致前三天N2O排放量减少，从而降低了全球变暖潜势（GWP）。N2O排放减少的潜在机制可能是MPs在第3天抑制了绿弯菌门和红育菌属，并增加了热单胞菌科的丰度。在第30天观察到N2O排放量增加，主要是由于NO3还原的加速以及芽单胞菌科丰度的降低。CH4的吸收与第3天的生丝微菌科和第30天的红微菌属显著相关。在含有MPs的土壤中，放线菌门取代变形菌门成为优势菌门。较大的MPs在第3天增加了细菌群落的丰富度（Chao1）、基于覆盖度的估计量（ACE）和多样性，但在第30天这些指标有所下降。在第3天和第30天，真菌群落的丰富度和多样性也有所降低。较小的MPs增加了施肥土壤中细菌和真菌群落的丰富度和多样性。我们的
P01332,"Lead smelting effects heavy metal concentrations in soils, wheat, and potentially humans",铅冶炼影响土壤、小麦及潜在人体内的重金属浓度,研究了铅冶炼影响区域附近土壤、小麦中Cd、Cu、Pb和Zn的浓度分布及其对人体重金属积累的潜在影响。研究采集了距离中国某大型铅冶炼厂距离递增的三个村庄（QD、GF和BS）的农田土壤、小麦籽粒和居民头发样本。结果显示，土壤Cd和Pb浓度在不同地点有46%至100%的时间超过国家标准。土壤和小麦籽粒中的Cd、Cu、Pb和Zn浓度随距离冶炼厂距离的减小而增加。同样，居住在离冶炼厂最近的居民头发中Cd、Cu和Pb浓度较高。随着距离冶炼厂距离的增加，头发与小麦籽粒中Cd和Pb的比值呈下降趋势。结果表明，随着距离冶炼厂距离的减小，通过食用金属污染食品（如小麦）导致的人体重金属吸收增加。
P01333,"Identification of the sources and influencing factors of potentially toxic elements accumulation in the soil from a typical karst region in Guangxi, Southwest China",中国西南广西典型喀斯特地区土壤潜在有毒元素累积的来源及影响因子识别,中国西南地区拥有世界上最大、最发育的喀斯特区域，该地区土壤中的潜在有毒元素含量 remarkably 高。为了探索该地区土壤PTEs富集的内外控制因素和来源，并为PTEs污染治理提供依据，研究团队在中国广西横县这一喀斯特地区采集了113份土壤样品。通过（偏）冗余分析定量分析了包括母质、风化、理化性质、地形和人类活动在内的18个影响因素的重要性。利用铅同位素比率和绝对主成分得分/多元线性回归（APCS-MLR）模型识别PTEs的来源。所有土壤PTEs的含量均高于广西土壤的相应背景值。碳酸盐岩土壤中的Cu、Zn、Cd、Hg和Pb含量最高。地质背景和风化因子组解释了土壤PTEs积累和分布的26.5%，而理化性质的影响小于2%，但通过与风化的相互作用增加到了25.6%。Fe (47.1%)、Al (42.1%)、Mn (22%)、化学蚀变指数（12.8%）和粘土（11.9%）是影响土壤PTEs的关键因素，而人类活动的影响较弱。铅同位素比率和APCS-MLR将62.8-74%的土壤PTEs归类为自然源，而18.23%和18.95%分别来自工业活动和农业实践/交通排放。铅同位素比率显示，自然源占碳
P01334,Concentrations of and risks posed by short-chain and medium-chain chlorinated paraffins in soil at a chemical industrial park on the southeast coast of China,中国东南沿海某化工园区土壤中短链和中链氯化石蜡的浓度及其风险,本研究测定了某化工园区土壤中短链氯化石蜡（SCCPs）和中链氯化石蜡（MCCPs）的浓度、空间分布及来源。样品采用二维气相色谱-电子捕获负离子质谱联用技术进行分析，并评估了SCCPs和MCCPs对土壤生物的风险。SCCP和MCCP的浓度分别为37.5–995.7 ng/g和15.1–739.6 ng/g（干重），氯含量分别为60.5%–63.0%和56.7%–58.3%。与其他地区相比，该园区土壤中的CP浓度处于中等水平。污水处理厂土壤中的CP浓度中值高于道路土壤，这归因于废水的集中处理。总有机碳含量与CP浓度之间无显著相关性（p>0.05），表明总有机碳含量未对研究区CP浓度产生强烈影响。层次聚类分析将土壤样品分为三组。C10Cl6-7、C11Cl7-8和C14Cl7-9是大多数土壤样品中的主要同系物。主成分分析和相关分析表明，MCCP和SCCP的相对丰度相关，且SCCPs可能源自CP-42和CP-52商业产品。初步风险评估表明，该工业园区土壤中的CPs对环境生物尚未构成明显风险。
P01340,Effects of the long-term application of atrazine on soil enzyme activity and bacterial community structure in farmlands in China,中国农田中长期施用阿特拉津对土壤酶活性和细菌群落结构的影响,阿特拉津在中国农田上的应用时间较长且范围较广。阿特拉津的浓度（1.86-1100 mg kg^-1）已超过土壤中的允许限值（1.0 mg kg^-1），人们越来越担心其对农田土壤的潜在危害。本研究建立了四个处理组（AT0、AT6、AT10、AT16），以揭示长期施用阿特拉津对土壤健康的影响。结果显示，四个处理组中阿特拉津残留浓度呈非线性调节。AT6中的阿特拉津残留浓度最高，为167 mg kg^-1，AT16中的浓度最低，为102 mg kg^-1，但AT10和AT16之间无显著差异。随着阿特拉津施用年限的增加，土壤脲酶活性显著下降；AT6中的蔗糖酶和纤维素酶活性显著高于其他三个处理组；过氧化氢酶活性随阿特拉津施用年限的增加而逐渐降低，且AT6中的活性显著高于AT16。通过Illumina MiSeq测序共鉴定出238个属，并筛选出28个优势属。阿特拉津显著增加了放线菌的相对丰度，并促进了Rubrobacter、Blastococcus、Promicromonospora、Jiangella、Psychroglaciecola和Acetobacteraceae_uncultured的相
P01341,Modelling bioaccumulation of heavy metals in soil-crop ecosystems and identifying its controlling factors using machine learning,基于机器学习的土壤-作物生态系统重金属生物累积建模及控制因子识别,预测和识别控制土壤-作物生态系统中重金属转移的因素至关重要。本研究基于13个协变量和1822对土壤-作物样本，比较了随机森林(RF)、梯度提升机(GBM)和广义线性(GLM)模型在模拟和识别影响中国长江三角洲土壤-作物系统中重金属转移的优先因素方面的应用。所有作物的平均生物累积因子(BAFs)顺序为 Cd > Zn > As > Cu > Ni > Hg > Cr > Pb。RF模型对土壤-作物生态系统中重金属BAFs的预测能力最好，其次是GBM和GLM。RF模型对Zn、Cu、Cr、Ni、Hg、Cd、As和Pb的BAFs的R2值分别为0.84、0.66、0.0.59、0.58、0.58、0.51、0.30和0.17。影响所有重金属土壤向作物转移的主要控制因素是植物类型，其次是土壤重金属含量和土壤有机质。本文使用的模型可用于辅助根据土壤重金属含量和其他协变量预测作物中的重金属含量，并能显著降低实验室分析所需的成本、劳动力和时间。它还可用于量化变量的重要性并识别土壤-作物生态系统中重金属生物累积的潜在控制因素。
P01344,Cadmium source identification in soils and high-risk regions predicted by geographical detector method,基于地理探测器法的土壤镉来源识别及高风险区预测,土壤中的镉污染已成为一个严重且普遍的环境问题，尤其是在具有高自然背景镉值的地区，但这些地区镉的富集机制尚不清楚。本研究以具有高背景镉水平和与采矿活动相关的镉污染的典型区域——广西壮族自治区为例，基于地理探测器方法探讨土壤中镉的来源并预测高风险区域。根据潜在的镉来源，广西土壤中高镉区域被分为非矿区 和矿区。结果表明，广西非矿区土壤中丰富的镉含量主要来源于土壤类型 ( q = 0 . 3 4 ) 、地质年代 ( q = 0 . 2 7 ) 、岩石类型 ( q = 0 . 2 6 ) 和地貌类型 ( q = 0 . 2 0 ) 。具体而言，镉含量来源于喀斯特地区石炭系碳酸盐岩的风化和沉积过程。广西矿区土壤中较高的镉含量主要来源于矿产资源开采区 ( q = 0 . 0 8 ) 和岩石类型 ( q = 0 . 0 5 ) 。具体而言，镉含量来源于铅锌矿的开采。广西土壤镉污染高风险区域主要集中在喀斯特地区，如河池、来宾、崇左、柳州南部和百色、南宁北部和桂林东北部，以及一些矿区。这些结果表明，广西大范围土壤中的高镉浓度可能源于自然来源，而矿区周围的高镉浓度源于人为来源。这些结果将有助于土壤修复以及定
P01346,"Health risk assessment of trace elements exposure through the soil-plant (maize)-human contamination pathway near a petrochemical industry complex, Northeast China",中国东北某石化联合体附近土壤-植物（玉米）-人体污染途径中微量元素暴露的健康风险评估,"石油化工联合体附近农田土壤中的微量元素污染因其在食物系统中累积并随后影响人类健康的风险而备受关注。2016年9月20日至28日，我们在某石化联合体附近的农业区域，通过土壤-植物（玉米）-人体污染途径测量了代表性微量元素（Cu, Ni, Cr, Pb, Zn, Pb, Hg 和 As）。我们发现土壤受到多种微量元素的轻度至中度污染，这通过污染因子和富集因子值也得到了证实。Cd（富集因子=2.28）、Cu（2.75）、Zn（1.85）和 Pb（1.70）因其潜在风险较高，应比其他微量元素给予更多关注并优先处理。此外，玉米籽粒中的微量元素污染低于相应的限值。转移系数值的顺序为 Zn > Cd > Cu > Hg > Ni > As > Cr > Pb。玉米籽粒的安全主要受到 Zn、Cd 和 Cu 的威胁。通过土壤摄入对人类没有风险，但食用玉米籽粒存在潜在的健康风险。儿童比成人对玉米籽粒摄入的非致癌风险更敏感。微量元素 As 被发现是风险控制的优先金属。对于致癌风险，成人比儿童更敏感；As、Cr 和 Cd 是风险控制的优先金属，其 CRmaize 值超过了风险阈值 ( 1 x 10 - 4 )"
P01347,Vanadium Contamination and Associated Health Risk of Farmland Soil near Smelters throughout China,中国冶炼厂附近农田土壤钒污染及其相关的健康风险,虽然人们普遍认为钒生产过程中的冶炼会导致严重的土壤污染，但在大陆尺度上，冶炼厂附近土壤中的钒含量及相关健康风险却鲜为人知。本研究首次绘制了中国大陆冶炼厂周围农田土壤中钒的分布图，并评估了相关的健康风险。对76个样本的分析表明，此类土壤中的平均钒含量为115.5 mg/kg，远高于中国82 mg/kg的背景含量（p < 0.05）。中国西南（198.0 mg/kg）和华北（158.3 mg/kg）地区的钒含量最高。钒含量与经度、海拔和大气温度密切相关。在钒的形态中，可还原态所占比例最大。所有样本的平均污染负荷指数为1.51，表明金属显著富集。儿童的危害指数大于1，表明健康风险升高。钒对总健康风险的相对贡献率在6.02%至34.5%之间，而在大多数地区，镍和铬是主要贡献者。这项工作可作为大陆范围内冶炼厂周围钒污染概述的模型，并提请注意其潜在的健康风险。
P01348,"Cadmium resistance mechanisms of a functional strain Enterobacter sp. DNB-S2, isolated from black soil in Northeast China",分离自中国东北黑土的功能菌株Enterobacter sp. DNB-S2的镉抗性机制,肠杆菌属菌株 DNB-S2 是一种高效的邻苯二甲酸二丁酯（DBP）降解菌，本研究证明了其对镉具有高度抗性（MIC为12.5 mM），并验证了相关机制。结果表明，胞外吸附和胞内积累的 Cd2+ 含量分别占介质中初始 Cd2+ 含量的最大值为 24.67% 和 4.78%。极低的胞内镉积累降低了镉干扰正常细胞代谢的风险。透射电镜（TEM）显示，即使在高镉浓度下，DNB-S2 的细胞结构仍保持完整。细胞内形成了一些沉淀颗粒，经 XPS 进一步鉴定为 Cd3(PO4)2、Cd(OH)2、CdCO3 和 CdS。此外，在 DNB-S2 基因组中预测了镉抗性基因，11 个碱性磷酸酶编码基因的存在为磷酸镉沉淀的形成提供了遗传基础，这表明胞内沉淀是 DNB-S2 菌株胞内镉解毒的重要机制之一。值得注意的是，注释了 8 个可能负责镉外排的外排蛋白，且均预测位于细胞质膜上。总之，细胞结构的完整性、镉沉淀的形成和高效的外排主要构成了 DNB-S2 的镉耐受机制。该菌株在镉-DBP 复合污染场地的生物修复中显示出良好的应用前景。
